   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 1- 0	 2- 1	 2- 0	     1375.10	 3.085	0.18	0.20
 1- 0	 2- 1	 2- 1	     1176.47	 1.803	0.16	0.20
 1- 0	 2- 1	 2- 2	     1862.79	 1.627	0.09	0.10
 1- 0	 2- 1	 3- 0	     2923.78	 7.255	0.08	0.10
 1- 0	 2- 1	 3- 1	     2312.57	 4.586	0.11	0.10
 1- 0	 2- 1	 3- 2	     3931.98	 2.697	0.06	0.10
 1- 0	 2- 1	 4- 0	     7449.03	Ej Spelad	0.10	0.10
 1- 0	 2- 2	 0- 0	     1548.64	 1.957	0.13	0.10
 1- 0	 2- 2	 0- 1	     1805.01	 1.679	0.10	0.10
 1- 0	 2- 2	 1- 0	     1319.31	 4.020	0.19	0.20
 1- 0	 2- 2	 1- 1	     1011.87	 3.494	0.25	0.20
 1- 0	 2- 2	 1- 2	     2008.24	 2.113	0.11	0.10
 1- 0	 2- 2	 2- 0	     1821.09	 5.824	0.13	0.10
 1- 0	 2- 2	 2- 1	     1558.04	 3.404	0.16	0.20
 1- 0	 2- 2	 2- 2	     2466.95	 2.866	0.10	0.10
 1- 0	 2- 2	 3- 0	     3872.06	 5.478	0.06	0.10
 1- 0	 2- 2	 3- 1	     3062.61	 6.926	0.08	0.10
 1- 0	 2- 2	 3- 3	    14214.34	Ej Spelad	0.10	0.10
 1- 0	 2- 2	 4- 0	     9865.00	Ej Spelad	0.10	0.10
 1- 0	 2- 2	 4- 1	     8389.47	Ej Spelad	0.10	0.10
 1- 0	 2- 3	 0- 0	     3768.59	 5.629	0.06	0.10
 1- 0	 2- 3	 0- 1	     4392.45	 4.829	0.06	0.10
 1- 0	 2- 3	 1- 0	     3210.52	 6.607	0.07	0.10
 1- 0	 2- 3	 1- 1	     2462.36	 8.615	0.09	0.10
 1- 0	 2- 3	 1- 2	     4887.00	 4.340	0.05	0.10
 1- 0	 2- 3	 2- 0	     4431.58	Ej Spelad	0.10	0.10
 1- 0	 2- 3	 2- 1	     3791.47	 5.595	0.06	0.10
 1- 0	 2- 3	 3- 0	     9422.58	Ej Spelad	0.10	0.10
